adm3_name,median_mr_onset_idx
Abergele (AM),74.0
Abichugna Gne'a,57.0
Abuna Ginde Beret,34.0
Ada'a,53.0
Adaba,53.0
Adama,56.0
Adama Tulu Jido Kombolcha,64.0
Adama town,59.0
Adda Berga,39.0
Addi Arekay,39.0
Adiss Zemen town,43.0
Agarfa,63.0
Akaki,51.0
Akeseta town,65.0
Albuko,64.0
Alefa,46.0
Aleltu,48.0
Aleme Ketma town,53.0
Amanuel town,23.0
Amba Giorgis town,40.0
Ambasel,64.0
Ambo Zuria,35.0
Ambo town,35.0
Amde Work town,63.0
Ameya,23.0
Amigna,73.0
Anchar,64.0
Andabet /West Esite,42.0
Aneded,38.0
Angolelana Tera,57.0
Angot,64.0
Ankober,64.0
Antsokiya,64.0
Arerti town,60.0
Argoba,68.0
Arsi Negele,32.0
Arsi Negele town,33.0
Aseko,57.0
Asela town,49.0
Assagirt,60.0
Ataye town,67.0
Awabel,38.0
Aykel town,37.0
Bako Tibe,19.0
Baso Liben,31.0
Basona Worena,61.0
Batu town,65.0
Bechena town,49.0
Becho (SW Shewa),30.0
Bedesa town,62.0
Bele Gesgar,67.5
Berbere,113.5
Bereh,47.0
Berehet,64.0
Beyeda,63.0
Bibugn,27.0
Bishoftu town,50.0
Boke,61.0
Bokoji town,31.0
Bora (OR),58.0
Borena /Debresina,58.0
Boset,61.0
Bugna,62.0
Burayu,46.0
Bure (AM),19.0
Bure town,19.0
Burqua Dhintu,90.0
Chancho town,43.0
Cheliya,20.0
Chilga 1,35.0
Chilga 2,35.0
Chiro Zuria,62.0
Chiro town,62.0
Chole,63.0
Cobi,25.0
Dabat,41.0
Dabat town,42.0
Dano,21.0
Daro Lebu,61.0
Dawe Ketchen,139.0
Dawo,26.0
Dawunt,63.0
Debark,37.0
Debark town,40.0
Debay Telatgen,43.0
Debre Berhan town,61.0
Debre Elias,28.0
Debre Libanos,51.0
Debre Markos town,34.0
Debre Sina town,61.0
Debre Tabor town,39.0
Debrework town,51.0
Dega Damot,22.0
Degeluna Tijo,47.0
Degem,48.0
Degolo town,63.0
Dehana,66.0
Dejen,43.0
