adm3_name,adm3_pcode
Abergele (AM),ET030805
Abichugna Gne'a,ET040609
Abuna Ginde Beret,ET040516
Ada'a,ET040706
Adaba,ET041710
Adama,ET040703
Adama town,ET040714
Adama Tulu Jido Kombolcha,ET040708
Adda Berga,ET040513
Addi Arekay,ET030101
Adete town,ET030799
Adiss Zemen town,ET030299
Agarfa,ET041104
Akaki,ET042012
Akeseta town,ET030427
Albuko,ET030408
Alefa,ET031115
Aleltu,ET040617
Aleme Ketma town,ET030599
Amanuel town,ET030618
Amba Giorgis town,ET031103
Ambasel,ET030404
Ambo town,ET040515
Ambo Zuria,ET040503
Amde Work town,ET030809
Ameya,ET041301
Amigna,ET040810
Anchar,ET040906
Andabet/ West Esite,ET030211
Aneded,ET030617
Angolelana Tera,ET030513
Angot,ET030313
Ankober,ET030515
Antsokiya,ET030507
Arerti town,ET030525
Argoba,ET030401
Arsi Negele,ET041703
Arsi Negele town,ET041799
Aseko,ET040802
Asela town,ET040825
Assagirt,ET030514
Ataye town,ET030598
Awabel,ET030612
Aykel town,ET031199
Bahir Dar town,ET030712
Bahirdar Zuria,ET030702
Bako Tibe,ET040506
Baso Liben,ET030611
Basona Worena,ET030519
Bechena Town,ET030699
Becho (SW Shewa),ET041309
Bedesa,ET040914
Bekoji town,ET040894
Bele Gesgar,ET040823
Berbere,ET041114
Bereh,ET042011
Berehet,ET030517
Beyeda,ET030102
Bibugn,ET030601
Bishan Guracha,ET041798
Bishoftu town,ET040709
Boke,ET040910
Bora (OR),ET040710
Borena /Debresina,ET030412
Boset,ET040702
Bugna,ET030301
Burayu,ET042001
Bure (AM),ET030710
Bure town,ET030798
Burqua Dhintu,ET040998
Cheliya,ET040505
Chilga 1,ET031106
Chilga 2,ET031112
Chiro town,ET040905
Chiro Zuria,ET040913
Chole,ET040809
Cobi,ET040592
Dabat,ET030105
Dabat town,ET030106
Dano,ET040507
Daro Lebu,ET040909
Dawe Ketchen,ET042106
Dawo,ET041304
Dawunt,ET030311
Debark,ET030104
Debark town,ET030198
Debay Telatgen,ET030607
Debre Berhan town,ET030520
Debre Elias,ET030608
Debre Libanos,ET040607
Debre Markos town,ET030615
Debre Sina town,ET030527
Debre Tabor town,ET030210
Debrework town,ET030621
Debub Achefer,ET030713
Debub Mecha,ET030715
Dega Damot,ET030707
Degeluna Tijo,ET040815
Degem,ET040605
Degolo town,ET030425
Dehana,ET030803
Dejen,ET030613
Dejen town,ET030698
Delanta,ET030406
Dembecha,ET030708
Denbecha town,ET030717
Dendi,ET040510
Dera (AM),ET030209
Dera (OR),ET040602
Dessie town,ET030418
Dessie Zuria,ET030409
Diksis,ET040822
Dinsho,ET041122
Doba,ET040902
Dodola,ET041707
Dodola town,ET041700
Dodota,ET040805
Dugda,ET040707
Dukem,ET042008
Dure Bete,ET030719
East Belesa,ET031117
East Dembia,ET031111
East Esite,ET030208
Ebenat,ET030201
Ebenat town,ET030217
Eferatana Gidem,ET030508
Ejere /Addis Alem,ET040511
Ejersa Lafo,ET040590
Enarj Enawga,ET030605
Enebse Sarmder,ET030604
Enemay,ET030606
Ensaro,ET030503
Farta,ET030204
Fentale,ET040701
Fiche town,ET040613
Filakit town,ET030314
Finote Selam town,ET030714
Fogera,ET030203
Gasera,ET041106
Gashena town,ET030315
Gaz Gibla,ET030804
Gazo,ET030312
Gedeb Asasa,ET041706
Gelana (Finfine),ET042098
Gemechis,ET040912
Gerar Jarso,ET040606
Gidan,ET030303
Gimbichu,ET040705
Ginde Beret,ET040501
Ginir,ET042103
Ginir town,ET042107
Gishe Rabel,ET030506
Goba (OR),ET041110
Goba Koricha,ET040907
Goba town,ET041120
Golocha,ET040803
Gololcha Bale,ET042101
Goncha Siso Enebse,ET030603
Gondar town,ET031118
Gonder Zuria,ET031110
Gonje,ET030718
Goro (Bale),ET041116
Goro (SW Shewa),ET041312
Guba Lafto,ET030307
Gumbi Bordede,ET040991
Guna,ET040819
Guna Begemider,ET030212
Gundwoin town,ET030620
Gura Damole,ET041115
Guzamn,ET030610
Habro,ET040908
Habru,ET030308
Hagere Mariam,ET030516
Hamusit town,ET030218
Hara town,ET030306
Harbu town,ET030429
Harena Buluk,ET041111
Hawi Gudina,ET040915
Heban Arsi,ET041783
Hidabu Abote,ET040603
Hike town,ET030499
Hitosa,ET040807
Holeta town,ET042020
Hulet Ej Enese,ET030602
Ifata,ET040519
Illu Galan,ET040500
Ilu,ET041305
Inkolo Wabe,ET040824
Jabi Tehnan,ET030709
Jama,ET030414
Janamora,ET030103
Jeju,ET040804
Jeldu,ET040502
Jibat,ET040518
Jida,ET040615
Jiga town,ET030720
Kalu,ET030407
Kelala town,ET030426
Kelela,ET030413
Kersana Malima,ET041307
Kewet,ET030512
Kimbibit,ET040610
Kinfaz Begela,ET031122
Kobo town,ET030399
Kofele,ET041704
Kokosa,ET041708
Kolla Debba town,ET031105
Kombolcha town,ET030417
Kore,ET041705
Kuni /Oda Bultum,ET040911
Kutaber,ET030403
Kuyu,ET040604
Lalibela town,ET030398
Lasta,ET030310
Lay Armacho,ET031108
Lay Gayint,ET030205
Legambo,ET030410
Lege Hida,ET042102
Lege Tafo-Lege Dadi town,ET042004
Legehida,ET030420
Liban Jawi,ET040597
Liben Chukala,ET040711
Libokemekem,ET030202
Limu Bilbilo,ET040818
Lome (OR),ET040704
Lude Hitosa,ET040821
Lumame town,ET030622
Masero Denb /Central Armacho,ET031119
Mecha,ET030704
Meda Welabu,ET041113
Mehal Sayint,ET030419
Mehale Meda town,ET030597
Mekan Eyesuse,ET030298
Mekane Selame,ET030498
Mekdela,ET030421
Meket,ET030304
Mena (Bale),ET041112
Mena Meketewa,ET030213
Menze Gera Midir,ET030505
Menze Keya Gabriel,ET030521
Menze Lalo Midir,ET030522
Menze Mama Midir,ET030509
Merawi town,ET030797
Merhabete,ET030502
Mersa town,ET030397
Merti,ET040801
Merto Lemariyam town,ET030623
Mesela,ET040904
Meta Robi,ET040514
Meta Walkite,ET040594
Metehara town,ET040799
Michakel,ET030609
Mida Kegn,ET040504
Mida Woremo,ET030501
Mieso,ET040901
Minjar Shenkora,ET030518
Mojan Wedera,ET030511
Mojo Town,ET040797
Molale town,ET030526
Moretna Jiru,ET030504
Mota Town,ET030694
Mulo,ET042016
Munessa,ET040817
Nefas Mewicha town,ET030215
Nenesebo,ET041709
Nono,ET040508
Quarit,ET030706
Raya Kobo,ET030302
Rayitu,ET042104
Robe,ET040812
Robe Town,ET041119
Sahila,ET030806
Sayint,ET030411
Sebeta Hawas,ET042006
Sebeta town,ET042009
Sedae,ET030619
Sede Muja,ET030214
Seden Sodo,ET041310
Sekela,ET030705
Sekota,ET030802
Sekota town,ET030807
Semada,ET030207
Semen Achefer,ET030701
Senan,ET030616
Sendafa town,ET042018
Seru,ET040811
Seweyna,ET042105
Shala,ET041702
Shanan Kolu,ET040893
Shashemene town,ET041711
Shashemene Zuria,ET041712
Shawra town,ET031104
Shebel Bernta,ET030614
Shendi town,ET030716
Shirka,ET040814
Shoa Robit,ET030595
Sinana,ET041109
Siraro,ET041701
Sire,ET040820
Siya Debirna Wayu,ET030523
Sodo Daci,ET041314
Sude,ET040808
Sululta,ET042013
Sululta town,ET042005
Tach Armacho,ET031120
Tach Gayint,ET030206
Takusa,ET031121
Tarema Ber,ET030510
Tegede,ET031107
Telemt,ET030119
Tena,ET040813
Tenta,ET030402
Thehulederie,ET030405
Tikur Enchini,ET040509
Tiyo,ET040816
Toke Kutaye,ET040517
Tole,ET041308
Tsagbeji,ET030808
Tulefa town,ET030524
Tulo (OR),ET040903
Tulu Awlia,ET030428
Wadla,ET030305
Waliso,ET041303
Wara Jarso,ET040601
Wegde,ET030416
Wegeda town,ET030216
Wegel tena town,ET030424
Wegera,ET031109
Welmera,ET042014
Wemberma,ET030711
Wenchi,ET041302
Were Ilu,ET030415
Wereilu town,ET030423
West Belesa,ET031116
West Dembiya,ET031125
Woldiya town,ET030309
Woliso town,ET041311
Wondo,ET041797
Worebabu,ET030422
Woreta town,ET030293
Wuchale,ET040608
Yaya Gulele,ET040614
Yilmana Densa,ET030703
Zequala,ET030801
Ziway Dugda,ET040806
