adm3_name,onset_threshold
Addi Arekay,20
Beyeda,20
Janamora,20
Debark,20
Dabat,20
Dabat town,20
Telemt,20
Debark town,20
Ebenat,20
Libokemekem,20
Fogera,20
Farta,20
Lay Gayint,20
Tach Gayint,20
Semada,20
East Esite,20
Dera (AM),20
Debre Tabor town,20
Andabet /West Esite,20
Guna Begemider,20
Mena Meketewa,20
Sede Muja,20
Nefas Mewicha town,20
Wegeda town,20
Ebenat town,20
Hamusit town,20
Woreta town,20
Mekan Eyesuse,20
Adiss Zemen town,20
Bugna,20
Raya Kobo,20
Gidan,20
Meket,20
Wadla,20
Hara town,20
Guba Lafto,20
Habru,20
Woldiya town,20
Lasta,20
Dawunt,20
Gazo,20
Angot,20
Filakit town,20
Gashena town,20
Mersa town,20
Lalibela town,20
Kobo town,20
Argoba,20
Tenta,20
Kutaber,20
Ambasel,20
Thehulederie,20
Delanta,20
Kalu,20
Albuko,20
Dessie Zuria,20
Legambo,20
Sayint,20
Borena /Debresina,20
Kelela,20
Jama,20
Were Ilu,20
Wegde,20
Kombolcha town,20
Dessie town,20
Mehal Sayint,20
Legehida,20
Mekdela,20
Worebabu,20
Wereilu town,20
Wegel tena town,20
Degolo town,20
Kelala town,20
Akeseta town,20
Gimeba town,20
Harbu town,20
Wegedi town,20
Mekane Selam town,20
Hike town,20
Mida Woremo,20
Merhabete,20
Ensaro,20
Moretna Jiru,20
Menze Gera Midir,20
Gishe Rabel,20
Antsokiya,20
Eferatana Gidem,20
Menze Mama Midir,20
Tarema Ber,20
Mojan Wedera,20
Kewet,20
Angolelana Tera,20
Assagirt,20
Ankober,20
Hagere Mariam,20
Berehet,20
Minjar Shenkora,20
Basona Worena,20
Debre Berhan town,20
Menze Keya Gabriel,20
Menze Lalo Midir,20
Siya Debirna Wayu,20
Tulefa town,20
Arerti town,20
Molale town,20
Debre Sina town,20
Enewari town,20
Shoa Robit,20
Mehal Meda town,20
Ataye town,20
Aleme Ketma town,20
Bibugn,20
Hulet Ej Enese,20
Goncha Siso Enebse,20
Enebse Sarmder,20
Enarj Enawga,20
Enemay,20
Debay Telatgen,20
Debre Elias,20
Michakel,20
Guzamn,20
Baso Liben,20
Awabel,20
Dejen,20
Shebel Bernta,20
Debre Markos town,20
Senan,20
Aneded,20
Amanuel town,20
Sedae,20
Gundwoin town,20
Debrework town,20
Lumame town,20
Merto Lemariyam town,20
Mota town,20
Dejen town,20
Bechena town,20
Sekela,20
Quarit,20
Dega Damot,20
Dembecha,20
Jabi Tehnan,20
Bure (AM),20
Wemberma,20
Finote Selam town,20
Shendi town,20
Denbecha town,20
Jiga town,20
Bure town,20
Zequala,20
Sekota,20
Dehana,20
Gaz Gibla,20
Abergele (AM),20
