id,brier,rps,auc,n,lat,lon,pietra,brier_week1,brier_week2,brier_week3,brier_week4,brier_later,auc_week1,auc_week2,auc_week3,auc_week4,auc_later,model,cv_method
Abergele (AM),0.2766876810660203,0.18071281505330894,0.9662629757785467,17,,,,,,,,,,,,,,blended_model,global
Abichugna Gne'a,0.34390696812281213,0.24541847344801698,0.9452662721893491,13,,,,,,,,,,,,,,blended_model,global
Abuna Ginde Beret,0.727120039312953,0.5117120474633077,0.7685185185185185,9,,,,,,,,,,,,,,blended_model,global
Ada'a,0.4027947742066744,0.2300269478098107,0.9400510204081632,14,,,,,,,,,,,,,,blended_model,global
Adaba,0.49167442692363406,0.4412837209117409,0.8964497041420119,13,,,,,,,,,,,,,,blended_model,global
Adama,0.44641969173213436,0.3785347999769364,0.8979591836734694,14,,,,,,,,,,,,,,blended_model,global
Adama Tulu Jido Kombolcha,0.5389035950842177,0.44151063112858063,0.8584183673469388,14,,,,,,,,,,,,,,blended_model,global
Adama town,0.4603148425151276,0.29429157345711937,0.8877777777777778,15,,,,,,,,,,,,,,blended_model,global
Adda Berga,0.7819654832045738,0.7381195097968156,0.6820987654320988,9,,,,,,,,,,,,,,blended_model,global
Addi Arekay,0.450678607593305,0.24957031012525518,0.9375,10,,,,,,,,,,,,,,blended_model,global
Adiss Zemen town,0.3234178606713892,0.20301977658223513,0.9955621301775148,13,,,,,,,,,,,,,,blended_model,global
Agarfa,0.4111952838370214,0.3210895760461311,0.927734375,16,,,,,,,,,,,,,,blended_model,global
Akaki,1.0021659058110066,1.0863639153960958,0.6080246913580247,9,,,,,,,,,,,,,,blended_model,global
Akeseta town,0.7229134853018568,0.7284499945379248,0.8210059171597633,13,,,,,,,,,,,,,,blended_model,global
Albuko,0.7024988678518242,0.6683345946268605,0.7844387755102041,14,,,,,,,,,,,,,,blended_model,global
Alefa,0.7882483923907696,0.577311548463225,0.7283950617283951,9,,,,,,,,,,,,,,blended_model,global
Aleltu,0.23419783399146343,0.12323617616690617,0.9913194444444444,12,,,,,,,,,,,,,,blended_model,global
Aleme Ketma town,0.33619248476320396,0.24813964193269822,0.9571005917159763,13,,,,,,,,,,,,,,blended_model,global
Amanuel town,0.7470421693335945,0.4598062608946044,0.7525,10,,,,,,,,,,,,,,blended_model,global
Amba Giorgis town,0.8200338392375314,0.6842014280241231,0.6419753086419753,9,,,,,,,,,,,,,,blended_model,global
Ambasel,0.36284614081687383,0.20528161473948975,0.9488888888888889,15,,,,,,,,,,,,,,blended_model,global
Ambo Zuria,0.5345999177709839,0.33806927380622304,0.8703703703703703,9,,,,,,,,,,,,,,blended_model,global
Ambo town,0.5506940212788433,0.35852746923267764,0.8672839506172839,9,,,,,,,,,,,,,,blended_model,global
Amde Work town,0.6362581443911914,0.5682535645350483,0.8112244897959183,14,,,,,,,,,,,,,,blended_model,global
Ameya,0.8584429175494349,0.7351685642608025,0.6198347107438017,11,,,,,,,,,,,,,,blended_model,global
Amigna,0.34089573628208386,0.2726112985832465,0.9475308641975309,18,,,,,,,,,,,,,,blended_model,global
Anchar,0.32380696842617945,0.24960127862532913,0.9605263157894737,19,,,,,,,,,,,,,,blended_model,global
Andabet /West Esite,0.38556979629517996,0.28288301844964203,0.9571005917159763,13,,,,,,,,,,,,,,blended_model,global
Aneded,0.6751495196637068,0.47882519952499114,0.8,10,,,,,,,,,,,,,,blended_model,global
Angolelana Tera,0.3947778624677148,0.30604599650955105,0.9289940828402367,13,,,,,,,,,,,,,,blended_model,global
Angot,0.4959727096637781,0.3846612324965821,0.8788265306122449,14,,,,,,,,,,,,,,blended_model,global
